uid,domain,text_sha256,gold,source,leaked,text_chars,n_near,n_far,max_gold_sim_near,max_gold_sim_far
clinc:0,clinc,5723f74333dd38a7,no,clinc150,0,24,63,63,0.8135,0.4043
clinc:1,clinc,718c6a4914d85fda,order checks,clinc150,0,63,63,63,0.713,0.4438
clinc:2,clinc,e33983dca177d4cc,international fees,clinc150,0,71,63,63,0.7168,0.4145
clinc:3,clinc,b9a9ed5e662c9b9d,share location,clinc150,0,34,63,63,0.6975,0.4068
clinc:4,clinc,861dbb5f539c4ed4,replacement card duration,clinc150,0,43,63,63,0.7157,0.4134
clinc:5,clinc,7ff29cc88f1cf56b,change ai name,clinc150,0,52,63,63,0.6178,0.4034
clinc:6,clinc,72189be083aacecc,date,clinc150,1,24,63,63,0.6992,0.4933
clinc:7,clinc,cf6f173d2f42d145,pto used,clinc150,0,39,63,63,0.8051,0.4528
clinc:8,clinc,ad06b71067f4ffec,damaged card,clinc150,0,39,63,63,0.7283,0.4209
clinc:9,clinc,99d85c38308677e7,gas,clinc150,0,33,63,63,0.8404,0.4832
clinc:10,clinc,f07a20bd20c41a85,calculator,clinc150,0,40,63,63,0.6157,0.4756
clinc:11,clinc,5bdceb8972a12974,who do you work for,clinc150,0,41,63,63,0.6461,0.4663
clinc:12,clinc,213c227ae6f44f34,what is your name,clinc150,1,17,63,63,0.5935,0.4556
clinc:13,clinc,9afa0b601222b10f,where are you from,clinc150,0,27,63,63,0.6646,0.4401
clinc:14,clinc,1686d6a2318b4764,report lost card,clinc150,0,48,63,63,0.7283,0.4187
clinc:15,clinc,9a92ce784fe45ef3,no,clinc150,0,11,63,63,0.8135,0.4043
clinc:16,clinc,7aa9b9d0281f39e4,mpg,clinc150,1,24,63,63,0.6536,0.4287
clinc:17,clinc,063b5fbd11ce41c0,restaurant reservation,clinc150,0,72,63,63,0.7432,0.4596
clinc:18,clinc,2e7b5d8c212e5f77,interest rate,clinc150,0,40,63,63,0.7192,0.4551
clinc:19,clinc,a3a44fb16cbbfdeb,order checks,clinc150,0,37,63,63,0.713,0.4438
clinc:20,clinc,df15dc0f4a11c0e8,meeting schedule,clinc150,0,54,63,63,0.6959,0.4232
clinc:21,clinc,aef87f38c358b392,no,clinc150,1,18,63,63,0.5629,0.4036
clinc:22,clinc,ff2755de89691b48,redeem rewards,clinc150,0,35,63,63,0.6448,0.4393
clinc:23,clinc,cfa4eff99084c680,who do you work for,clinc150,0,34,63,63,0.6541,0.4663
clinc:24,clinc,9cee463a6fe75782,roll dice,clinc150,0,49,63,63,0.6823,0.4493
clinc:25,clinc,ecf9d07590f40f1f,whisper mode,clinc150,1,43,63,63,0.5933,0.4381
clinc:26,clinc,d7f8052b2bb8056a,directions,clinc150,0,50,63,63,0.6354,0.4965
clinc:27,clinc,d349e140190309ee,uber,clinc150,1,54,63,63,0.6812,0.4788
clinc:28,clinc,65e54c6f19b4b6cf,flip coin,clinc150,0,16,63,63,0.6177,0.4367
clinc:29,clinc,9b94ce51a9e19cd7,greeting,clinc150,0,38,63,63,0.6385,0.4633
clinc:30,clinc,5de4abce1d713317,share location,clinc150,0,46,63,63,0.6975,0.4068
clinc:31,clinc,1979e93a96779cba,gas type,clinc150,0,29,63,63,0.6369,0.4369
clinc:32,clinc,0559a1bbbf150dc3,calculator,clinc150,0,21,63,63,0.6157,0.4754
clinc:33,clinc,63b7b4490f1a2002,distance,clinc150,0,54,63,63,0.6623,0.4794
clinc:34,clinc,50e7184d60a12bd9,who do you work for,clinc150,0,27,63,63,0.6513,0.4663
clinc:35,clinc,f867e7c31c59e5ca,alarm,clinc150,1,17,63,63,0.6637,0.5044
clinc:36,clinc,8122064104c6b279,weather,clinc150,1,23,63,63,0.6612,0.4805
clinc:37,clinc,8127ee195021acce,measurement conversion,clinc150,1,40,63,63,0.5895,0.4217
clinc:38,clinc,43e8690395bfadd6,travel notification,clinc150,0,76,63,63,0.7346,0.4379
clinc:39,clinc,f0f97de4aa84d42a,directions,clinc150,0,31,63,63,0.6354,0.4965
clinc:40,clinc,4040d90577d3b041,what can i ask you,clinc150,0,30,63,63,0.6125,0.4292
clinc:41,clinc,6381d309c4d6b799,whisper mode,clinc150,0,43,63,63,0.568,0.4381
clinc:42,clinc,7fc97d46a713e5bc,pto balance,clinc150,0,47,63,63,0.8015,0.4182
clinc:43,clinc,b55bd6ed494d7c51,transfer,clinc150,0,36,63,63,0.689,0.4642
clinc:44,clinc,15b611c6fba8da6a,bill balance,clinc150,0,63,63,63,0.8048,0.4489
clinc:45,clinc,faabe66060ba8d1a,carry on,clinc150,0,43,63,63,0.5566,0.4224
clinc:46,clinc,f66893b5f5ae8701,traffic,clinc150,1,33,63,63,0.7145,0.4913
clinc:47,clinc,f5b4a9936e3c6fa5,confirm reservation,clinc150,0,37,63,63,0.6642,0.4232
clinc:48,clinc,850d186f8bf3f43c,change pin,clinc150,0,42,63,63,0.5967,0.3928
clinc:49,clinc,4972cc26f7af6b06,insurance change,clinc150,0,46,63,63,0.6694,0.4245
clinc:50,clinc,d62e3bcd2c746fdf,ingredients list,clinc150,0,37,63,63,0.7322,0.4524
clinc:51,clinc,850c96ec09f5ec8e,international fees,clinc150,0,44,63,63,0.7168,0.4145
clinc:52,clinc,94b6e5c7d37940d3,timer,clinc150,1,29,63,63,0.7825,0.4781
clinc:53,clinc,c7a612402cf6eb02,make call,clinc150,0,18,63,63,0.7467,0.4483
clinc:54,clinc,2d3f01fa872d0a58,lost luggage,clinc150,0,26,63,63,0.5836,0.4063
clinc:55,clinc,e09cefccfcd6a5bd,improve credit score,clinc150,0,43,63,63,0.5618,0.4122
clinc:56,clinc,5139beb5d968be15,reset settings,clinc150,0,66,63,63,0.6393,0.4094
clinc:57,clinc,92c0d342bd1cd8dc,reminder,clinc150,1,34,63,63,0.6789,0.4494
clinc:58,clinc,6af4240467e59b81,w2,clinc150,1,27,63,63,0.6118,0.4578
clinc:59,clinc,b8099d95d9ca48ae,change user name,clinc150,0,21,63,63,0.6845,0.4178
clinc:60,clinc,18aad471b8e7e619,new card,clinc150,0,31,63,63,0.7244,0.4303
clinc:61,clinc,fbff87c6be43cdc4,whisper mode,clinc150,1,28,63,63,0.568,0.4381
clinc:62,clinc,d32efb5e4056e7ae,last maintenance,clinc150,0,40,63,63,0.7419,0.4202
clinc:63,clinc,52f93f75259d40c0,play music,clinc150,0,25,63,63,0.747,0.4415
clinc:64,clinc,3cf6d4ab760f7d10,yes,clinc150,1,24,63,63,0.8135,0.4314
clinc:65,clinc,08351d2b0281e156,cancel reservation,clinc150,0,84,63,63,0.7813,0.444
clinc:66,clinc,9475a71a4cf1d613,how old are you,clinc150,0,7,63,63,0.6094,0.4309
clinc:67,clinc,6180dd271a7cf683,tire change,clinc150,0,51,63,63,0.6292,0.414
clinc:68,clinc,3b062d6067010754,reminder,clinc150,1,21,63,63,0.6159,0.4475
clinc:69,clinc,98e5274913165352,order,clinc150,1,42,63,63,0.7117,0.5
clinc:70,clinc,e3e6a8d1cfb6a69b,transfer,clinc150,1,63,63,63,0.689,0.4642
clinc:71,clinc,61125a24f5c78f80,oil change how,clinc150,0,56,63,63,0.6014,0.4178
clinc:72,clinc,24bfd1cf8be6e5a4,change user name,clinc150,0,21,63,63,0.7472,0.4178
clinc:73,clinc,80befe9586b40658,pto request,clinc150,1,50,63,63,0.635,0.436
clinc:74,clinc,54289fda989cfae1,change pin,clinc150,0,48,63,63,0.5967,0.393
clinc:75,clinc,652358d33df6ee1e,traffic,clinc150,1,113,63,63,0.7145,0.4917
clinc:76,clinc,f8975e11352abb15,interest rate,clinc150,1,48,63,63,0.6644,0.4397
clinc:77,clinc,499eb68bdf47629a,next song,clinc150,0,35,63,63,0.6952,0.4383
clinc:78,clinc,fc71c7ab40664b29,text,clinc150,0,38,63,63,0.6459,0.4947
clinc:79,clinc,a8c32a69a1072b36,spending history,clinc150,0,32,63,63,0.6931,0.4491
clinc:80,clinc,a00af7dd0cc60182,todo list update,clinc150,0,30,63,63,0.744,0.4001
clinc:81,clinc,6853ed04963fed66,nutrition info,clinc150,1,44,63,63,0.646,0.4151
clinc:82,clinc,8a3671d25b634727,credit limit change,clinc150,0,64,63,63,0.6354,0.389
clinc:83,clinc,22a1da51ea6cad10,spending history,clinc150,0,31,63,63,0.6401,0.4491
clinc:84,clinc,045caa31fd56cace,maybe,clinc150,0,20,63,63,0.712,0.3891
clinc:85,clinc,f61cffd0804edab3,new card,clinc150,0,50,63,63,0.7244,0.4184
clinc:86,clinc,382f4f1e296ee002,tire change,clinc150,0,44,63,63,0.6292,0.414
clinc:87,clinc,89e769362d94d0ca,accept reservations,clinc150,0,47,63,63,0.7813,0.4586
